# ASCII output from GENSvis.py
# Contains interpolated values from the
# GFS ensemble on 1.000000 x 1.000000 degrees
# The data in here are for station
# 11120: INNSBRUCK
# Station position:  11.3553 47.2589
# Used grid point 1: 12.0000 48.0000
# Used grid point 2: 12.0000 47.0000
# Used grid point 3: 11.0000 47.0000
# Used grid point 4: 11.0000 48.0000
varname    timestamp    step mem0      mem1      mem2      mem3      mem4      mem5      mem6      mem7      mem8      mem9      mem10     mem11     mem12     mem13     mem14     mem15     mem16     mem17     mem18     mem19     mem20     
tmax2m       1586584800    6   275.542   275.703   275.528   275.561   275.705   275.578   275.598   275.359   275.260   275.534   275.607   275.574   275.587   275.629   275.563   275.577   275.452   275.409   275.500   275.594   275.653
tmax2m       1586606400   12   284.190   283.383   284.074   284.644   284.203   284.273   283.919   283.722   283.923   284.557   283.641   283.899   283.673   283.314   284.096   284.161   284.057   284.695   283.901   284.032   284.274
tmax2m       1586628000   18   284.059   283.532   284.217   284.378   283.167   284.139   283.993   283.877   284.115   284.657   283.531   283.851   283.615   283.312   284.043   284.195   284.160   284.588   284.451   284.470   283.450
tmax2m       1586649600   24   277.687   277.855   277.691   277.887   277.924   277.457   277.735   277.319   277.457   277.762   277.794   277.638   277.733   277.803   277.741   277.724   277.809   277.592   277.618   277.689   277.818
tmax2m       1586671200   30   276.835   276.880   276.956   276.825   276.872   276.868   276.925   276.764   276.903   276.790   276.921   276.760   276.794   276.824   276.886   276.830   276.982   276.912   276.947   276.947   276.899
tmax2m       1586692800   36   284.098   284.101   284.220   284.093   283.777   283.880   284.312   283.620   283.667   283.954   283.866   283.903   284.298   284.016   284.187   284.095   284.320   283.645   284.272   283.846   283.884
tmax2m       1586714400   42   284.260   284.363   284.461   284.434   283.920   283.923   284.479   283.880   283.793   284.180   284.050   284.227   284.566   284.182   284.433   284.406   284.616   283.867   284.480   284.147   284.123
tmax2m       1586736000   48   277.436   276.914   277.547   277.168   277.373   277.569   277.685   276.968   277.321   277.360   277.574   277.119   277.167   277.546   277.556   277.578   277.613   277.470   277.700   277.389   277.282
tmax2m       1586757600   54   275.733   275.977   275.771   275.714   275.598   275.597   275.570   275.722   275.806   275.495   275.768   275.759   275.558   275.584   275.585   275.728   275.726   275.671   275.850   275.963   275.589
tmax2m       1586779200   60   284.794   284.647   284.280   284.620   284.968   284.268   282.300   284.580   284.501   284.347   284.047   285.632   284.358   283.904   284.115   283.859   284.478   285.085   283.255   284.957   283.754
tmax2m       1586800800   66   284.597   284.231   284.013   284.122   284.768   283.889   282.392   284.236   284.315   284.422   284.132   285.502   284.155   283.887   284.172   283.728   284.552   284.983   282.912   284.896   283.722
tmax2m       1586822400   72   277.410   276.778   277.371   277.342   277.301   276.937   276.401   276.839   277.271   276.698   277.224   277.663   277.005   277.027   276.876   276.989   276.436   277.251   276.964   277.397   277.158
tmax2m       1586844000   78   275.176   273.079   275.265   274.138   275.626   273.970   274.995   274.031   274.729   275.256   275.035   275.447   275.207   275.035   275.163   274.555   275.067   274.442   274.823   274.463   274.953
tmax2m       1586865600   84   278.819   277.514   280.218   278.633   280.340   277.777   274.796   277.433   281.718   276.653   277.912   280.184   278.580   278.326   279.702   277.639   280.084   278.651   278.082   279.949   278.174
tmax2m       1586887200   90   279.368   278.310   280.971   280.407   280.696   278.460   274.811   278.025   282.262   277.010   278.416   280.768   279.361   279.456   280.086   278.245   280.859   279.121   278.717   280.834   278.688
tmax2m       1586908800   96   272.627   271.812   274.166   274.832   273.621   271.777   268.727   271.724   276.106   270.960   271.970   274.586   274.005   272.902   273.248   271.486   274.757   272.477   272.527   275.400   272.055
tmax2m       1586930400  102   275.045   273.821   275.223   274.640   275.032   274.573   270.192   273.709   275.205   273.330   273.470   275.506   275.598   274.533   274.668   274.157   274.860   275.441   273.543   275.290   273.494
tmax2m       1586952000  108   286.159   284.111   284.992   283.475   287.001   286.038   282.129   285.561   283.282   285.697   285.655   283.891   287.081   286.230   283.134   285.847   285.591   283.258   285.124   284.025   284.911
tmax2m       1586973600  114   285.024   284.430   283.842   283.380   287.498   286.465   283.363   285.931   282.911   285.943   285.817   283.661   287.141   286.613   282.695   284.985   284.913   282.817   285.344   284.241   285.394
