# ASCII output from GENSvis.py
# Contains interpolated values from the
# GFS ensemble on 1.000000 x 1.000000 degrees
# The data in here are for station
# 11120: INNSBRUCK
# Station position:  11.3553 47.2589
# Used grid point 1: 12.0000 48.0000
# Used grid point 2: 12.0000 47.0000
# Used grid point 3: 11.0000 47.0000
# Used grid point 4: 11.0000 48.0000
varname    timestamp    step mem0      mem1      mem2      mem3      mem4      mem5      mem6      mem7      mem8      mem9      mem10     mem11     mem12     mem13     mem14     mem15     mem16     mem17     mem18     mem19     mem20     
tmax2m       1586498400    6   275.411   275.502   275.437   275.450   275.331   275.494   275.550   275.511   275.411   275.511   275.729   275.254   275.433   275.246   275.115   275.394   275.367   275.324   275.466   275.411   275.659
tmax2m       1586520000   12   284.530   284.339   284.690   284.669   284.609   284.493   284.889   284.213   284.350   284.851   284.256   284.832   284.688   284.547   285.122   284.351   284.863   284.706   284.351   284.579   284.514
tmax2m       1586541600   18   284.799   284.612   284.699   285.048   284.974   284.494   284.452   284.546   284.908   285.156   284.520   285.213   284.874   284.866   285.085   284.599   284.931   284.874   284.895   284.895   284.305
tmax2m       1586563200   24   277.181   277.451   277.188   277.350   276.325   277.396   276.854   277.277   276.576   276.938   277.434   276.610   277.362   276.494   276.296   276.951   277.269   277.254   277.120   277.213   277.446
tmax2m       1586584800   30   276.604   276.901   276.371   276.670   276.584   276.738   276.454   276.581   276.344   276.574   277.160   276.729   276.603   276.621   276.165   276.465   276.517   276.565   276.459   276.856   277.073
tmax2m       1586606400   36   284.805   284.622   284.545   284.632   285.388   285.193   284.422   284.323   284.384   285.212   284.173   284.444   284.326   284.497   285.578   284.641   284.955   285.507   285.036   284.856   284.478
tmax2m       1586628000   42   284.511   284.567   284.529   284.459   285.090   284.934   284.324   284.106   284.441   284.639   284.009   284.241   284.123   284.252   284.957   284.390   284.869   285.087   285.156   284.811   284.159
tmax2m       1586649600   48   277.979   277.956   277.760   278.242   278.177   278.321   277.758   277.784   277.796   278.279   278.119   277.783   277.749   277.845   278.175   277.910   278.114   278.065   278.119   277.938   278.227
tmax2m       1586671200   54   276.702   276.680   276.628   276.696   276.779   276.606   276.638   276.603   276.629   276.699   276.711   276.697   276.695   276.537   276.689   276.638   276.724   276.710   276.709   276.587   276.884
tmax2m       1586692800   60   284.543   284.405   284.518   285.034   284.626   284.597   284.828   283.189   284.548   285.006   284.361   284.205   284.420   284.537   284.718   284.507   284.822   284.620   284.886   284.016   285.152
tmax2m       1586714400   66   284.758   284.649   284.566   285.016   284.731   284.733   285.020   283.785   284.740   285.149   284.512   284.375   284.755   284.711   284.889   284.705   284.970   284.864   284.967   284.299   285.384
tmax2m       1586736000   72   277.347   277.195   277.524   276.515   277.524   276.766   277.714   277.143   277.193   277.271   277.527   277.503   277.491   276.914   277.424   277.411   277.445   277.643   277.990   277.566   277.357
tmax2m       1586757600   78   275.366   275.144   275.308   275.325   275.752   275.114   275.410   274.893   275.189   275.156   275.629   275.599   275.135   275.037   275.366   275.267   275.511   275.427   275.540   275.552   275.551
tmax2m       1586779200   84   283.140   283.841   284.100   283.550   283.298   284.175   283.097   283.912   284.039   284.304   284.348   283.264   282.622   283.989   283.176   282.831   282.324   282.602   283.061   282.868   282.434
tmax2m       1586800800   90   282.870   284.018   284.167   283.550   283.585   284.103   283.232   284.271   284.331   284.419   284.553   283.416   283.074   284.050   283.248   282.795   281.977   281.839   282.962   283.054   282.172
tmax2m       1586822400   96   276.010   276.227   276.325   276.460   276.222   276.450   276.704   275.577   276.654   277.642   277.394   275.660   275.365   275.218   276.865   276.782   275.762   275.314   276.376   276.958   276.285
tmax2m       1586844000  102   275.623   275.526   275.653   275.701   275.672   275.043   275.269   275.598   275.174   275.568   275.918   275.604   275.837   275.296   275.658   275.460   275.524   274.851   275.553   275.532   275.711
tmax2m       1586865600  108   281.867   282.132   281.369   282.183   279.873   282.178   279.638   279.461   279.701   281.188   280.717   283.775   280.905   279.314   282.570   279.322   283.357   277.977   283.119   280.517   280.583
tmax2m       1586887200  114   281.665   281.241   281.249   281.681   280.098   282.886   276.788   279.399   277.897   280.926   281.032   283.786   280.927   279.895   282.442   280.541   283.715   278.528   282.945   280.681   281.390
tmax2m       1586908800  120   276.031   276.098   276.065   276.394   275.811   276.762   269.426   275.793   272.296   277.055   276.386   277.460   275.495   274.942   276.781   275.263   276.898   274.789   276.210   276.303   275.392
tmax2m       1586930400  126   274.673   274.139   274.762   274.210   274.240   275.203   268.919   274.511   273.848   275.904   274.843   275.338   274.896   274.622   275.107   274.571   275.182   274.175   274.626   274.986   274.917
tmax2m       1586952000  132   283.398   284.017   283.467   281.439   281.586   285.006   277.328   282.867   283.308   284.684   283.973   283.890   284.176   283.849   283.953   283.679   284.872   282.694   282.823   282.943   284.047
tmax2m       1586973600  138   283.817   284.546   283.851   280.826   281.748   285.248   277.680   283.210   283.896   284.996   284.187   283.915   284.594   284.273   283.996   283.941   285.195   282.980   281.539   283.150   284.492
tmax2m       1586995200  144   277.857   278.067   277.992   276.357   276.739   278.486   272.663   277.856   276.386   278.655   277.923   276.842   277.717   277.594   277.981   276.996   279.210   276.844   276.901   277.367   278.316
tmax2m       1587016800  150   275.959   276.152   276.185   274.327   275.748   277.797   272.077   276.346   275.851   276.904   276.202   275.720   275.904   276.979   276.223   274.862   277.004   275.521   275.276   275.692   276.632
tmax2m       1587038400  156   282.147   286.980   284.237   277.372   285.682   284.517   280.240   286.739   285.744   287.269   285.923   285.208   286.020   287.149   284.098   283.020   282.974   284.128   278.883   282.231   285.958
tmax2m       1587060000  162   282.672   287.000   284.427   277.817   284.281   283.701   280.897   287.321   286.135   286.275   284.458   286.112   286.118   286.322   284.093   280.603   283.078   283.824   278.883   280.175   285.385
tmax2m       1587081600  168   277.634   279.565   278.659   276.177   278.552   278.446   274.901   280.206   279.039   279.845   279.081   279.190   278.064   279.723   279.319   275.667   278.702   278.496   276.878   276.299   279.967
tmax2m       1587103200  174   277.310   277.162   277.237   275.630   277.854   277.309   274.722   278.911   277.111   278.604   277.813   277.712   277.432   279.198   277.172   275.239   277.880   277.015   276.177   275.424   277.823
tmax2m       1587124800  180   287.690   283.500   288.376   282.852   288.589   287.198   282.704   284.844   287.005   289.584   289.143   288.141   283.791   288.681   284.560   285.175   287.764   287.910   281.011   283.878   287.563
tmax2m       1587146400  186   288.356   283.300   288.501   282.359   289.002   287.092   281.737   284.674   286.988   289.808   289.659   288.549   284.103   288.874   284.390   284.363   287.514   288.272   281.685   284.595   287.694
tmax2m       1587168000  192   280.064   277.625   281.293   277.917   281.926   279.918   276.713   279.952   280.739   281.827   281.447   279.903   277.445   280.734   279.330   278.417   281.368   279.903   277.604   276.870   279.088
tmax2m       1587189600  198   279.547   277.403   279.829   277.129   280.832   279.308   277.183   279.455   280.751   281.323   280.681   279.629   278.317   280.364   278.934   278.884   280.463   279.719   278.306   278.179   279.933
tmax2m       1587211200  204   290.345   283.585   292.469   288.487   289.684   289.551   287.164   282.191   289.634   291.554   291.366   290.382   289.071   291.842   291.006   289.966   291.603   290.105   289.452   289.304   292.439
tmax2m       1587232800  210   290.645   282.982   292.820   289.260   289.760   289.853   287.393   281.902   289.936   291.897   291.111   290.309   289.019   291.675   291.415   290.198   291.583   290.027   290.180   289.151   292.122
tmax2m       1587254400  216   282.385   278.628   283.859   281.866   283.097   283.912   280.932   279.679   281.899   284.143   283.865   281.863   280.667   283.941   284.375   282.306   283.303   283.816   281.408   279.508   282.620
tmax2m       1587276000  222   280.482   276.161   281.424   280.218   281.191   279.925   279.099   277.173   280.850   281.591   280.362   280.303   278.983   281.570   281.015   280.206   280.991   280.540   280.753   278.755   281.152
tmax2m       1587297600  228   286.479   288.926   289.686   286.512   290.128   287.882   289.637   287.600   289.956   290.731   290.179   284.041   287.416   291.336   291.099   288.473   288.498   286.528   292.032   286.061   292.808
tmax2m       1587319200  234   286.824   289.254   288.747   286.488   289.838   287.494   289.152   288.493   289.901   290.124   288.456   283.961   287.625   290.427   290.399   287.882   287.490   286.492   291.377   286.434   293.534
tmax2m       1587340800  240   281.743   281.324   282.515   280.977   283.094   282.521   282.677   280.009   282.837   282.700   282.112   280.164   280.454   282.776   284.076   282.255   282.212   282.321   282.890   279.124   284.383
dd10m        1586498400    6   184.254   184.614   180.916   180.190   183.314   180.251   189.118   178.854   186.898   190.673   175.300   186.118   187.141   189.588   188.906   179.520   186.199   185.025   181.418   186.894   186.336
dd10m        1586520000   12    33.660    32.408    33.885    56.524    48.667    36.099    27.975    41.848    30.527    21.470    33.643    25.241    40.197    47.338    19.450    35.342    25.773    44.932    42.890    42.086    31.949
dd10m        1586541600   18    36.288    33.425    34.942    40.921    47.735    36.721    36.340    43.726    37.285    33.608    42.488    32.063    35.167    29.373    27.401    35.206    33.750    31.565    29.237    37.671    43.421
dd10m        1586563200   24   358.172    12.218    11.586   212.408   210.735   221.023   323.066   336.449    13.344     6.926   317.013    14.639   305.488    14.034    27.975     2.556     3.617    72.241    24.619   186.876   267.867
dd10m        1586584800   30    15.374    17.249    15.796   292.541   279.214    22.726     0.471    16.662    11.889    19.832    11.093     6.957     9.696    11.982    24.226    15.685     9.053    16.557    10.667   321.029    11.902
dd10m        1586606400   36    39.451    39.540    41.990    41.566    51.095    52.418    31.078    28.220    34.066    47.861    34.320    31.991    31.257    41.517    59.364    38.807    47.938    44.005    41.038    37.639    38.586
dd10m        1586628000   42    89.926    85.188    91.096    92.650    98.987   103.610    79.871    76.400    79.889   107.192    87.213    82.246    77.390    96.101   109.863    85.303    95.315    91.401    96.605    83.129    91.341
dd10m        1586649600   48   189.175   189.577   188.391   188.722   189.614   189.607   187.722   188.218   188.014   192.200   187.297   186.966   191.297   188.609   193.338   190.877   189.990   192.846   186.077   188.384   192.607
dd10m        1586671200   54   201.085   202.339   201.761   203.356   201.363   202.976   199.176   203.174   205.157   204.788   200.835   202.299   200.921   200.773   206.970   202.079   201.228   202.682   201.270   196.776   203.727
dd10m        1586692800   60   208.119   201.980   213.182   219.215   204.596   209.024   207.521   210.055   218.866   207.244   212.371   220.170   200.666   216.056   213.077   204.554   212.112   199.741   199.219   200.876   211.475
dd10m        1586714400   66   171.126   172.035   173.020   188.650   173.021   184.254   169.888   186.251   173.756   178.143   174.573   168.933   171.130   171.791   168.297   173.871   176.449   170.226   172.510   171.417   169.535
dd10m        1586736000   72   194.412   196.451   196.396   194.687   195.011   198.871   191.382   200.841   196.829   191.965   195.231   194.649   194.180   197.397   193.054   192.961   194.824   195.636   192.265   192.688   193.429
dd10m        1586757600   78   195.525   197.738   194.514   189.275   197.624   201.386   190.418   193.724   192.452   192.805   194.106   194.144   195.201   196.152   193.460   192.235   191.963   200.849   192.233   193.010   193.974
dd10m        1586779200   84   202.004   191.925   195.816   193.974   200.719   250.590   200.382   204.872   200.910   194.988   195.188   191.682   212.109   210.450   204.946   205.724   200.311   216.349   189.541   191.679   215.026
dd10m        1586800800   90   158.719   277.735   147.662   173.335   151.997   344.341   188.530   203.954   178.709   170.784   154.145   178.531   240.459   244.651   207.810   196.312   334.916   241.504   169.830   152.533   262.517
