# ASCII output from GENSvis.py
# Contains interpolated values from the
# GFS ensemble on 1.000000 x 1.000000 degrees
# The data in here are for station
# 11120: INNSBRUCK
# Station position:  11.3553 47.2589
# Used grid point 1: 12.0000 48.0000
# Used grid point 2: 12.0000 47.0000
# Used grid point 3: 11.0000 47.0000
# Used grid point 4: 11.0000 48.0000
varname    timestamp    step mem0      mem1      mem2      mem3      mem4      mem5      mem6      mem7      mem8      mem9      mem10     mem11     mem12     mem13     mem14     mem15     mem16     mem17     mem18     mem19     mem20     
tmax2m       1586757600    6   275.163   275.128   275.032   275.117   275.177   275.421   275.077   275.180   275.046   275.051   275.408   275.179   275.132   275.120   274.955   275.385   275.311   275.085   275.290   275.447   275.287
tmax2m       1586779200   12   283.018   282.116   283.579   283.214   282.569   282.523   283.520   281.955   283.450   283.341   282.680   283.270   283.559   283.223   283.710   282.914   283.431   283.042   282.479   282.894   283.060
tmax2m       1586800800   18   282.555   281.691   282.661   282.480   282.411   281.978   282.683   282.466   283.031   282.995   282.669   282.535   283.079   282.755   283.410   282.215   282.835   282.822   282.072   282.791   282.300
tmax2m       1586822400   24   276.475   276.365   276.484   276.224   276.566   276.225   276.514   276.631   276.460   276.566   276.518   276.518   276.523   276.375   276.613   276.277   276.699   276.250   276.270   276.796   276.303
tmax2m       1586844000   30   271.153   271.383   271.072   271.035   271.492   270.438   271.052   272.043   271.517   271.348   271.362   271.300   271.395   271.095   271.367   270.610   272.273   270.991   271.078   271.951   270.530
tmax2m       1586865600   36   273.883   274.648   273.374   273.763   273.777   273.162   272.279   275.173   275.389   273.300   274.041   273.391   275.079   274.426   274.558   273.500   274.149   273.261   272.805   274.969   273.431
tmax2m       1586887200   42   274.428   275.118   273.967   274.368   274.254   273.895   272.974   275.578   275.794   273.914   274.491   273.804   275.725   274.815   275.098   274.009   274.694   273.907   273.344   275.400   273.997
tmax2m       1586908800   48   268.809   269.159   268.471   268.561   268.639   268.349   267.542   269.668   269.910   268.472   268.887   268.687   269.814   268.992   269.264   268.577   269.030   268.329   267.805   269.211   268.499
tmax2m       1586930400   54   271.321   271.819   270.605   271.451   271.211   270.933   270.329   272.153   272.117   270.863   271.216   270.691   272.115   271.166   271.941   270.636   271.553   270.779   270.430   271.817   270.660
tmax2m       1586952000   60   282.150   283.309   281.575   282.526   283.034   282.894   282.329   283.276   283.631   281.840   282.352   284.178   282.839   282.583   283.817   281.909   282.331   282.585   282.153   283.088   281.812
tmax2m       1586973600   66   283.764   284.767   283.198   284.924   284.809   284.907   283.400   284.577   285.660   283.467   283.968   285.006   284.191   284.663   284.910   285.209   284.480   283.288   283.516   284.439   283.812
tmax2m       1586995200   72   275.210   275.120   274.943   275.437   275.383   275.503   274.295   275.191   275.873   275.069   275.232   275.181   275.212   275.218   275.320   275.305   275.608   274.752   275.034   275.546   275.369
tmax2m       1587016800   78   275.770   276.444   275.579   275.596   275.544   275.606   275.598   276.262   276.173   275.833   275.392   275.779   276.232   275.910   276.053   275.408   275.598   276.108   275.754   275.333   275.344
tmax2m       1587038400   84   285.579   285.262   284.138   286.336   286.017   286.009   285.716   285.139   286.685   285.948   286.311   285.681   286.392   286.174   285.710   286.249   286.249   285.897   285.596   286.575   286.499
tmax2m       1587060000   90   285.274   284.851   284.197   286.301   286.078   285.687   285.297   284.443   286.262   285.852   286.364   285.446   285.864   286.161   285.204   286.021   286.140   285.152   285.652   286.707   285.852
tmax2m       1587081600   96   276.769   278.021   277.585   277.648   278.102   277.499   277.353   277.957   278.262   276.644   277.971   277.423   277.889   277.644   277.610   276.874   277.272   277.337   277.327   277.037   277.021
tmax2m       1587103200  102   277.017   277.088   276.742   276.908   276.683   276.834   276.866   276.859   277.441   277.309   277.164   276.724   277.668   277.169   277.429   277.776   277.509   277.125   277.077   277.703   277.868
tmax2m       1587124800  108   284.695   283.191   282.414   283.842   279.563   282.911   285.614   282.620   284.066   283.919   284.897   283.573   283.902   282.659   285.135   288.532   284.949   285.425   282.948   284.552   285.518
tmax2m       1587146400  114   284.734   283.001   282.705   283.214   278.880   282.916   285.921   282.133   284.172   283.796   284.997   283.984   283.999   281.996   285.093   287.866   284.956   285.380   282.447   284.439   285.369
tmax2m       1587168000  120   277.650   277.406   277.563   277.210   274.317   277.732   277.946   276.952   277.914   277.630   277.832   277.517   277.948   276.408   278.105   278.419   278.113   278.130   277.082   277.512   278.973
tmax2m       1587189600  126   276.804   274.204   275.635   275.498   271.305   275.151   277.369   275.397   276.258   276.358   277.649   277.010   276.734   273.922   277.477   279.059   277.041   276.993   275.399   276.928   277.771
tmax2m       1587211200  132   286.456   282.010   283.781   283.449   277.712   285.830   284.215   285.755   284.873   284.544   284.886   286.329   281.281   283.443   286.539   288.276   286.310   286.123   284.803   286.218   287.674
tmax2m       1587232800  138   286.543   281.986   283.847   283.852   278.326   285.682   283.130   285.847   283.656   284.664   284.039   286.335   281.358   283.946   286.317   287.620   286.813   286.279   284.990   286.239   287.603
tmax2m       1587254400  144   277.661   273.822   277.025   276.572   272.586   276.858   278.794   277.985   276.464   277.299   278.989   278.486   277.593   275.709   278.060   280.721   279.253   278.151   277.420   278.696   279.327
tmax2m       1587276000  150   276.671   273.145   274.331   274.732   272.160   275.457   277.114   275.929   271.632   275.097   278.221   276.845   274.769   273.304   276.608   279.762   277.966   277.302   275.918   276.696   278.743
tmax2m       1587297600  156   283.461   281.590   281.430   281.200   278.027   284.212   283.054   280.679   281.133   283.079   282.490   282.072   278.838   284.465   284.629   289.163   285.075   286.485   282.243   279.175   283.806
tmax2m       1587319200  162   282.506   281.567   280.644   281.465   277.356   283.347   282.624   280.324   281.429   283.269   281.993   280.921   279.063   284.945   284.736   288.223   284.685   286.655   281.520   279.958   283.382
tmax2m       1587340800  168   277.320   272.708   274.429   274.172   273.755   276.582   277.936   275.780   273.435   275.066   278.308   276.631   272.720   275.324   275.865   281.872   280.838   277.501   277.054   272.946   279.991
tmax2m       1587362400  174   273.507   271.599   270.424   270.679   270.399   275.004   275.848   273.084   270.648   272.876   276.778   271.504   270.608   273.953   272.289   278.765   278.394   276.610   274.990   270.478   278.620
tmax2m       1587384000  180   276.963   280.475   277.407   279.932   274.772   284.474   281.060   275.782   279.029   279.652   276.772   277.626   278.961   283.468   281.391   281.456   283.207   286.000   277.132   275.265   286.224
tmax2m       1587405600  186   277.028   280.770   277.476   280.200   274.554   284.781   281.015   276.016   279.343   279.889   275.934   277.369   279.213   283.685   281.517   281.399   282.526   286.056   277.097   275.566   286.421
tmax2m       1587427200  192   271.025   273.066   271.007   274.186   269.898   276.515   278.115   272.871   272.903   272.785   273.763   269.944   273.003   274.999   274.494   273.787   278.018   277.697   274.766   269.905   281.027
tmax2m       1587448800  198   269.150   272.009   269.771   271.329   268.806   273.698   277.432   273.057   271.747   269.181   273.438   269.622   271.491   272.284   271.138   271.518   276.348   277.089   273.072   268.148   278.727
tmax2m       1587470400  204   278.787   279.305   279.787   280.562   278.452   283.858   285.249   279.431   281.645   276.040   277.141   278.843   281.396   282.217   278.981   280.342   274.074   287.669   279.879   275.291   287.360
tmax2m       1587492000  210   279.106   279.366   280.735   280.600   279.879   284.575   284.040   280.082   281.925   276.213   277.285   279.025   281.718   282.688   279.189   280.622   273.771   286.640   280.127   275.431   287.263
tmax2m       1587513600  216   273.458   274.743   273.168   274.469   272.608   276.559   280.589   276.173   275.352   270.598   275.337   273.734   274.655   275.521   272.114   274.163   271.417   280.406   277.295   270.088   281.029
tmax2m       1587535200  222   271.154   272.561   273.393   271.384   274.345   275.454   277.960   273.119   273.899   269.561   274.253   272.230   272.331   273.312   269.094   269.778   270.758   277.712   275.882   269.434   277.422
tmax2m       1587556800  228   277.355   280.602   279.673   280.534   280.397   285.446   287.552   278.011   285.314   279.413   279.079   280.371   277.985   283.824   274.655   278.390   273.595   284.520   281.205   277.198   286.557
tmax2m       1587578400  234   277.679   281.158   279.796   280.577   280.826   285.724   287.909   277.815   284.325   279.992   279.549   280.729   278.166   284.257   275.324   278.558   273.953   283.041   281.969   277.714   286.870
tmax2m       1587600000  240   274.799   276.948   275.302   273.845   276.808   276.967   280.274   273.177   275.353   273.397   276.200   273.704   272.563   275.880   272.351   272.330   271.372   278.966   276.279   271.563   278.869
dd10m        1586757600    6   225.527   226.846   225.219   226.973   228.030   228.382   224.132   228.951   224.589   225.372   225.828   220.058   225.344   222.555   222.957   226.344   223.769   229.379   222.765   227.052   224.452
dd10m        1586779200   12   298.064   306.195   288.183   295.375   300.587   299.015   295.774   311.511   297.574   297.466   301.803   287.894   293.888   290.588   293.587   292.042   290.241   294.387   288.792   305.298   283.542
dd10m        1586800800   18   340.591   346.747   332.975   342.772   340.975   336.533   338.045   349.139   345.356   332.712   346.349   342.512   342.602   343.551   340.793   337.357   341.048   340.204   341.104   344.128   336.123
dd10m        1586822400   24   351.972   352.458   353.117   345.163   351.760   343.446   347.623   352.088   359.287   349.471   353.001   357.956   353.135   352.474   352.528   351.671   350.956   348.812   352.056   353.276   348.276
dd10m        1586844000   30   339.833   344.596   338.441   341.827   338.490   336.196   336.620   342.702   344.962   339.104   341.030   345.565   344.980   344.024   341.985   337.381   339.751   340.173   339.014   348.012   339.802
dd10m        1586865600   36   350.476   352.669   348.677   351.699   348.772   354.210   358.676   348.213   355.192   354.154   349.535   358.075   354.737   351.322   356.184   349.408   355.195   352.473   349.258   358.228   352.082
dd10m        1586887200   42    18.740    20.305    15.582    24.893    15.259    30.083    24.619    12.001    15.579    18.301    18.793    20.672    23.707    17.359    24.559    19.615    27.150    17.173    15.790    25.920    20.099
dd10m        1586908800   48   170.096   169.071   175.132   169.486   170.045   177.214   165.446   178.193   162.326   177.711   181.508   159.203   179.364   169.649   176.498   158.324   164.188   168.199   185.583   155.469   170.217
dd10m        1586930400   54   186.518   187.070   184.870   183.944   188.270   174.084   162.456   201.234   197.728   178.036   191.251   176.006   190.400   180.139   190.650   186.689   186.786   199.061   184.461   175.288   180.438
dd10m        1586952000   60    78.886    79.878    93.697    71.183    93.398   101.724    68.232    66.256    82.752    97.223    74.331    94.946    54.184   102.786    66.290    61.520    79.215    52.015    78.488    75.103    88.407
dd10m        1586973600   66   123.873   115.508   133.364   123.069   136.338   134.855   111.196   124.512   131.889   127.780   127.060   134.186   110.062   129.798   116.496   120.520   127.909   120.404   133.509   124.782   132.135
dd10m        1586995200   72   194.617   203.390   199.398   191.213   193.306   193.528   187.401   199.707   196.793   195.875   190.424   196.183   193.048   199.322   194.713   190.624   188.219   195.447   198.699   187.731   188.948
dd10m        1587016800   78   218.669   230.322   232.666   207.807   210.248   212.008   215.352   215.015   220.137   217.071   213.159   213.563   213.218   214.541   217.108   213.720   211.629   222.613   220.734   207.572   208.552
dd10m        1587038400   84   317.807   331.017   323.172   308.995   267.163   314.818   219.741   329.595   319.121   307.716   279.405   315.221   309.190   288.735   321.999   304.662   314.142   315.319   311.486   293.922   288.162
dd10m        1587060000   90   333.681   313.598   314.569   319.430   219.466     2.076   331.680   306.059   290.928   320.602   270.463   345.448   303.748   303.598   329.820   327.961   351.961   331.054   317.436   356.418   196.232
dd10m        1587081600   96   253.141   264.955   252.672   255.594   248.673   283.015   279.526   261.694   260.657   258.853   248.423   264.972   245.764   246.449   245.262   236.690   249.416   255.758   256.059   259.307   244.872
dd10m        1587103200  102   280.477   276.526   282.661   282.538   280.479   276.322   280.418   280.852   282.689   279.748   282.138   295.953   272.793   275.970   274.054   259.624   271.946   280.244   274.840   292.948   262.766
dd10m        1587124800  108   318.824   314.772   323.460   321.968   309.800   330.754   320.081   319.895   324.292   323.208   304.890   333.328   311.299   312.869   319.437   299.419   315.140   327.968   316.754   321.320   312.888
dd10m        1587146400  114   358.284   341.045   350.602   356.461   339.673   353.053   351.846   346.100     0.489   351.651   357.575    17.573   348.724   343.103     5.608    37.132   342.907   357.990   345.949   352.473   334.273
dd10m        1587168000  120    24.564     9.649    10.976    27.818   339.323    34.205   159.952   351.197    31.460     7.740   236.891   198.643     5.168   349.232    79.101   200.361   327.990   312.345   353.705   316.806   348.353
dd10m        1587189600  126    56.126    10.564   326.801   310.088   339.990   126.575   185.159   350.416    90.060    13.942   186.946   242.907    23.465   340.246   115.314   184.680    90.509   350.406   197.913   259.568    88.915
dd10m        1587211200  132    15.206    12.617   342.523    16.726   349.691    29.963   159.338   352.903     9.250    25.154   239.546   355.302     9.468   336.341    16.603   170.396   130.029    11.909   337.288   334.620   186.664
dd10m        1587232800  138    59.583    33.348     7.909    43.717    27.820    56.259   196.780    56.561    29.764    48.279   229.703    51.427    23.279   355.983    45.302   172.540    82.804    46.236    50.528   347.692    83.854
dd10m        1587254400  144   206.690   107.892   345.272   220.908    63.161    37.295   249.104   245.824    37.563    71.010   232.649   112.721    13.499   319.756   202.349   212.364   177.905   253.662   256.870   327.647   176.129
dd10m        1587276000  150   168.262   106.196    13.649    16.767    95.140   113.761     8.569    13.872    20.133    45.648   249.930    52.994    28.954   337.656    17.968   282.114   183.522     4.794    26.002   347.747   183.895
dd10m        1587297600  156    21.119     8.109    32.885    24.130    68.501    60.584    62.291    45.293    22.107    44.830    52.608    51.282    35.549   331.182    32.009    34.373   119.105    20.601    40.925    12.592   350.582
dd10m        1587319200  162    34.918    32.993    37.972    41.726    66.372    76.359    72.792    56.086    29.327    59.529    68.341    33.550    47.078   359.825    46.270    71.094   133.364    45.939    52.539    20.949    59.389
dd10m        1587340800  168    35.038   108.678    49.190    60.824    79.389   141.344   104.488    85.632    81.870   103.520    96.031    42.096    68.623   337.139    70.544    46.215   163.750   170.067    90.222    20.006   136.828
dd10m        1587362400  174    38.278    43.304    41.054    67.787    32.424    64.670   116.642    77.271    68.019    44.436    77.968    44.251    39.455   354.226    72.403    57.541   140.520    62.407    66.795    17.760   151.953
dd10m        1587384000  180    42.391    30.252    38.930    62.269    29.233    55.041   112.582    79.828    61.290    39.862    79.023    36.541    46.038    12.167    66.928    47.892   106.670    51.377    59.119    24.602   128.890
dd10m        1587405600  186    44.117    42.311    35.601    52.524    21.933    39.382   125.191   104.572    59.067    29.938    80.153    49.855    41.766    28.227    58.742    54.963    95.132    80.191    56.334    35.413   118.366
dd10m        1587427200  192    50.570   126.121    26.899    35.744     2.679    20.970   154.187   115.115    89.140    22.187    94.111    81.142    22.015    53.823    48.358    49.197    81.740   163.084    79.799    32.909   141.183
dd10m        1587448800  198    55.536    92.516    23.842    27.300   327.997    32.641   148.186   104.182    76.046    23.484    93.374    79.492   358.841    47.045    32.463    33.837    16.297   176.029    95.436    33.918   122.878
dd10m        1587470400  204    52.952    74.562    29.526    34.410     3.159    21.271    63.823    77.178    72.257    23.830    91.383    65.733     4.820    54.783    37.832    33.474    22.627    83.147    98.359    38.353    79.326
dd10m        1587492000  210    49.968    87.905    50.581    41.935    44.303    30.729    66.594    55.992    81.443    24.363    86.139    52.027     4.158    40.796    38.429    37.222    28.930   135.454    98.604    36.792    69.806
dd10m        1587513600  216    66.782   148.031   180.336    77.147   186.052   235.205    96.898    73.090   162.459    20.206   134.200    50.673    22.270   317.523    46.671    60.392    39.615   177.908   186.631   358.420   102.537
dd10m        1587535200  222    74.547   152.080   167.793    66.470   179.242   287.775    75.502    30.529   192.454    13.064   142.694   356.560    44.773   291.475    56.868    61.174    30.102   175.888   342.845   348.877    63.029
dd10m        1587556800  228    74.120   100.602   147.275    51.172   127.540   336.893    68.030    38.273    46.290    22.194    80.155    18.618    55.430   346.415    62.178    49.734    37.836   165.787     7.412     7.026    47.283
dd10m        1587578400  234    74.522    83.012   107.412    57.127   134.769    11.128    62.934    37.048    69.881    21.879    40.626     8.376    53.857   354.849    50.058    54.476    30.226   189.481     6.234    16.538    84.748
dd10m        1587600000  240   139.352   112.700   164.229   173.214   189.170   300.026   182.589    51.618   205.382   274.720   226.308   329.248   102.007   347.864    99.947    76.064    37.903   196.790    13.597   347.607   180.472
ff10m        1586757600    6     2.389     2.405     2.405     2.382     2.337     2.261     2.438     2.335     2.364     2.480     2.417     2.400     2.364     2.385     2.441     2.381     2.280     2.430     2.402     2.290     2.446
ff10m        1586779200   12     2.039     2.237     1.796     2.228     1.813     2.107     1.968     1.979     1.937     1.905     2.164     1.923     1.815     2.140     1.979     2.008     1.710     2.242     2.096     1.852     1.883
ff10m        1586800800   18     2.422     2.734     1.952     2.835     2.278     2.682     2.405     2.557     2.360     2.180     2.566     2.331     2.534     2.717     2.397     2.509     1.954     2.618     2.347     2.393     2.512
ff10m        1586822400   24     3.373     3.153     3.518     3.364     3.650     3.350     3.481     3.295     3.029     3.635     3.326     3.425     3.543     3.115     3.633     3.450     3.365     3.509     3.398     3.473     3.277
ff10m        1586844000   30     3.461     3.539     3.484     3.586     3.479     3.794     3.904     3.348     3.221     3.784     3.370     3.604     3.442     3.516     3.521     3.365     3.533     3.761     3.816     3.345     3.530
ff10m        1586865600   36     3.821     3.954     3.775     3.709     3.638     3.694     3.740     4.000     3.836     3.705     3.776     3.766     3.714     3.934     3.742     3.837     3.681     3.625     3.811     3.802     3.767
ff10m        1586887200   42     2.451     2.517     2.639     2.303     2.331     2.347     2.328     2.582     2.510     2.646     2.431     2.621     2.485     2.465     2.491     2.558     2.249     2.543     2.346     2.246     2.647
ff10m        1586908800   48     1.189     1.292     1.235     1.348     1.095     1.852     0.713     0.984     1.117     1.187     1.470     0.688     1.600     1.220     1.500     1.191     1.579     1.006     0.968     1.267     1.449
ff10m        1586930400   54     1.101     1.252     1.160     0.958     1.251     1.359     0.644     0.821     1.276     1.268     1.041     0.963     0.943     1.233     0.661     0.988     1.434     1.038     1.105     1.375     1.100
