# ASCII output from GENSvis.py
# Contains interpolated values from the
# GFS ensemble on 1.000000 x 1.000000 degrees
# The data in here are for station
# 11120: INNSBRUCK
# Station position:  11.3553 47.2589
# Used grid point 1: 12.0000 48.0000
# Used grid point 2: 12.0000 47.0000
# Used grid point 3: 11.0000 47.0000
# Used grid point 4: 11.0000 48.0000
varname    timestamp    step mem0      mem1      mem2      mem3      mem4      mem5      mem6      mem7      mem8      mem9      mem10     mem11     mem12     mem13     mem14     mem15     mem16     mem17     mem18     mem19     mem20     
tmax2m       1587016800    6   274.664   274.738   274.526   274.712   274.552   274.621   274.490   274.490   274.859   274.543   274.647   274.750   274.664   274.773   274.664   274.681   274.681   274.581   274.690   274.590   274.590
tmax2m       1587038400   12   283.811   283.413   283.548   283.500   283.557   283.546   283.492   283.592   283.929   283.748   283.564   283.581   283.711   283.662   283.334   283.454   283.671   283.767   283.527   284.028   283.689
tmax2m       1587060000   18   283.907   283.801   284.050   283.568   284.002   283.929   283.719   284.024   284.007   283.833   283.971   283.649   283.754   283.928   283.969   284.088   283.651   283.811   283.792   283.863   283.664
tmax2m       1587081600   24   272.914   273.703   273.071   272.628   273.828   272.528   273.642   272.867   272.611   272.791   272.902   273.240   272.640   273.100   272.505   272.825   273.111   273.323   272.952   273.952   272.435
tmax2m       1587103200   30   276.829   276.881   276.700   276.813   276.907   276.903   276.677   276.813   276.887   276.856   276.856   276.720   276.839   276.855   276.839   276.970   276.878   276.896   276.777   276.664   276.794
tmax2m       1587124800   36   286.091   286.672   285.659   286.115   285.905   286.666   286.140   286.730   286.592   285.826   286.072   285.753   286.110   286.720   286.254   286.234   285.490   285.931   286.327   285.869   286.142
tmax2m       1587146400   42   286.960   286.607   286.562   287.070   286.344   287.471   286.106   287.282   287.418   286.972   287.179   286.545   286.953   287.315   287.496   286.582   286.310   286.843   287.337   287.084   287.324
tmax2m       1587168000   48   277.760   277.455   276.515   277.678   277.043   277.610   276.495   277.224   276.663   277.928   277.607   276.845   277.157   277.810   277.467   277.382   276.899   277.237   277.928   276.294   277.481
tmax2m       1587189600   54   278.333   278.187   278.250   278.176   278.401   278.264   278.184   278.321   278.435   278.099   278.323   277.855   278.229   278.157   278.341   278.080   278.068   278.285   278.282   278.395   278.271
tmax2m       1587211200   60   287.358   286.765   287.047   287.438   288.086   287.993   287.139   287.797   286.944   287.862   287.862   287.155   286.440   287.081   288.056   287.218   287.902   287.167   286.642   286.037   286.330
tmax2m       1587232800   66   287.045   286.944   286.858   287.129   287.649   287.531   287.037   287.393   286.492   287.545   287.740   286.982   286.727   286.730   287.492   286.987   287.805   287.212   286.483   286.143   286.922
