# ASCII output from GENSvis.py
# Contains interpolated values from the
# GFS ensemble on 1.000000 x 1.000000 degrees
# The data in here are for station
# 11120: INNSBRUCK-FLUGHAFEN
# Station position:  11.3553 47.2589
# Used grid point 1: 12.0000 48.0000
# Used grid point 2: 12.0000 47.0000
# Used grid point 3: 11.0000 47.0000
# Used grid point 4: 11.0000 48.0000
varname    timestamp    step mem0      mem1      mem2      mem3      mem4      mem5      mem6      mem7      mem8      mem9      mem10     mem11     mem12     mem13     mem14     mem15     mem16     mem17     mem18     mem19     mem20     
tmax2m       1520920800    6    -2.996    -2.210    -2.945    -3.348    -2.930    -3.836    -2.478    -3.191    -2.966    -3.307    -3.746    -2.532    -2.507    -2.817    -4.753    -2.387    -3.917    -3.683    -3.149    -3.485    -2.983
tmax2m       1520942400   12     1.124     1.509     1.090     1.278     0.584     1.353     0.488     1.199     0.960     1.202     1.168     1.447     0.719     0.869     1.435     1.743     1.085     0.977     1.447     1.364     0.998
tmax2m       1520964000   18     1.342     1.602     1.256     1.544     0.924     1.413     0.687     1.514     1.200     1.328     1.377     1.482     1.002     1.280     1.453     1.770     1.334     1.104     1.530     1.566     1.299
tmax2m       1520985600   24    -2.741    -3.259    -2.764    -3.112    -2.748    -2.219    -2.686    -2.838    -2.403    -2.595    -2.572    -2.559    -2.708    -2.891    -2.828    -2.734    -2.637    -2.680    -2.188    -3.070    -2.694
tmax2m       1521007200   30    -5.489    -8.782    -5.415    -6.627    -5.155    -8.470    -4.776    -6.570    -6.689    -5.006    -7.354    -5.983    -4.814    -6.675    -4.145    -4.686    -4.420    -4.286    -4.151    -4.643    -6.681
tmax2m       1521028800   36     0.988     0.770     0.798     1.004     1.246     1.086     1.129     1.257     0.950     1.181     1.012     0.929     1.169     1.052     0.771     1.133     0.850     0.879     1.280     0.965     0.982
tmax2m       1521050400   42     1.336     1.203     1.121     1.370     1.370     1.487     1.618     1.405     1.381     1.443     1.407     1.314     1.462     1.556     1.147     1.446     1.146     1.249     1.537     1.344     1.489
tmax2m       1521072000   48    -3.042    -3.087    -2.733    -3.141    -2.871    -2.656    -2.315    -3.265    -2.983    -2.638    -2.986    -2.755    -2.558    -2.964    -2.484    -2.690    -2.578    -2.789    -2.239    -2.993    -2.866
tmax2m       1521093600   54    -3.844    -5.125    -4.033    -3.901    -3.631    -3.875    -3.485    -3.944    -4.384    -3.710    -3.566    -3.604    -3.654    -3.732    -4.462    -3.479    -4.035    -3.701    -3.343    -3.879    -3.665
tmax2m       1521115200   60     1.503     2.050     1.731     2.023     2.393     1.734     2.040     1.742     1.815     1.774     1.410     2.150     1.875     1.924     1.816     1.613     2.136     1.470     2.488     1.784     2.268
