# ASCII output from GENSvis.py
# Contains interpolated values from the
# GFS ensemble on 1.000000 x 1.000000 degrees
# The data in here are for station
# 11120: INNSBRUCK
# Station position:  11.3553 47.2589
# Used grid point 1: 12.0000 48.0000
# Used grid point 2: 12.0000 47.0000
# Used grid point 3: 11.0000 47.0000
# Used grid point 4: 11.0000 48.0000
varname    timestamp    step mem0      mem1      mem2      mem3      mem4      mem5      mem6      mem7      mem8      mem9      mem10     mem11     mem12     mem13     mem14     mem15     mem16     mem17     mem18     mem19     mem20     
tmax2m       1586930400    6   269.370   269.341   269.418   269.606   269.358   269.170   269.300   269.344   269.369   269.358   269.120   269.550   269.413   269.583   269.459   269.365   269.492   269.229   269.253   269.275   269.191
tmax2m       1586952000   12   280.043   280.220   280.297   280.275   279.811   279.483   279.858   280.113   279.801   279.795   279.969   280.140   279.891   279.808   279.539   279.462   279.870   280.365   279.663   280.184   280.131
tmax2m       1586973600   18   280.791   281.073   280.853   281.059   280.880   280.736   280.401   280.861   280.911   280.795   280.634   280.617   280.997   280.979   280.691   280.516   280.770   281.053   280.727   280.879   280.905
tmax2m       1586995200   24   274.564   274.704   274.638   274.781   274.495   274.625   274.272   274.546   274.598   274.607   274.459   274.528   274.577   274.733   274.507   274.612   274.572   274.607   274.538   274.611   274.585
tmax2m       1587016800   30   275.281   275.484   275.176   275.202   275.303   274.945   275.561   275.491   275.450   275.307   275.425   275.398   275.429   275.241   275.425   275.411   275.272   275.346   275.298   274.997   275.286
tmax2m       1587038400   36   283.587   283.950   283.602   283.491   283.788   283.488   283.331   283.662   283.678   284.033   283.425   283.330   283.705   283.670   283.575   283.731   283.327   283.721   283.447   283.645   283.592
tmax2m       1587060000   42   284.553   284.837   284.883   284.335   285.635   285.201   284.210   285.027   284.774   284.691   284.448   284.436   285.495   285.470   285.087   285.322   284.244   284.814   284.847   285.392   285.296
tmax2m       1587081600   48   273.631   274.126   273.826   273.670   274.232   273.374   276.430   274.408   274.113   274.477   273.623   274.618   274.903   273.565   273.778   273.620   273.735   275.420   274.498   274.218   274.253
tmax2m       1587103200   54   277.156   277.316   277.152   277.113   277.051   277.112   276.900   277.090   277.173   277.294   277.273   277.102   277.237   277.294   277.230   277.278   277.278   277.206   277.216   277.056   277.185
tmax2m       1587124800   60   286.686   287.073   286.694   286.288   286.348   286.027   286.747   286.543   287.839   287.500   286.157   286.911   286.342   286.217   287.040   286.953   286.075   285.782   285.621   286.249   286.434
tmax2m       1587146400   66   286.987   287.019   287.006   287.309   286.174   286.370   286.955   286.669   287.662   286.852   287.096   286.790   286.705   286.605   287.006   286.958   286.311   286.586   286.047   286.721   286.855
tmax2m       1587168000   72   277.268   277.607   277.887   277.624   277.070   277.255   276.826   277.092   277.435   277.803   277.556   276.464   277.049   276.960   278.070   277.061   277.029   277.157   277.056   277.228   277.083
tmax2m       1587189600   78   278.596   278.054   277.817   278.171   278.263   278.736   278.481   278.391   278.990   278.693   278.632   278.292   278.634   278.676   278.880   278.428   278.613   278.714   278.437   278.320   278.700
tmax2m       1587211200   84   288.408   286.629   285.772   286.467   287.761   287.923   288.757   288.123   288.411   288.438   287.487   286.935   288.814   287.960   288.940   286.256   286.730   289.213   289.011   286.903   288.803
tmax2m       1587232800   90   287.889   286.617   285.834   286.316   287.274   287.562   288.706   287.884   287.355   288.373   287.424   286.693   288.567   287.213   288.517   286.083   286.746   289.081   288.595   287.019   288.412
tmax2m       1587254400   96   279.288   278.677   278.135   279.466   278.809   280.074   279.801   279.102   280.180   279.555   278.833   278.704   280.500   279.223   279.518   279.422   278.793   279.606   280.226   278.452   279.231
tmax2m       1587276000  102   279.235   278.854   277.309   278.967   278.997   279.107   279.508   279.776   279.596   279.248   279.346   277.511   279.726   278.822   279.126   278.106   278.958   279.792   279.333   278.031   279.667
tmax2m       1587297600  108   285.543   286.626   282.716   283.780   287.168   282.006   285.867   283.623   284.525   282.033   287.540   282.658   286.783   283.979   284.592   283.697   285.467   283.890   285.000   283.319   286.710
