# ASCII output from GENSvis.py
# Contains interpolated values from the
# GFS ensemble on 1.000000 x 1.000000 degrees
# The data in here are for station
# 11120: INNSBRUCK
# Station position:  11.3553 47.2589
# Used grid point 1: 12.0000 48.0000
# Used grid point 2: 12.0000 47.0000
# Used grid point 3: 11.0000 47.0000
# Used grid point 4: 11.0000 48.0000
varname    timestamp    step mem0      mem1      mem2      mem3      mem4      mem5      mem6      mem7      mem8      mem9      mem10     mem11     mem12     mem13     mem14     mem15     mem16     mem17     mem18     mem19     mem20     
tmax2m       1586844000    6   273.273   273.141   273.196   273.094   272.980   273.326   273.318   273.136   273.335   272.944   273.389   273.461   273.508   272.992   273.133   273.395   273.455   273.576   273.381   273.609   273.441
tmax2m       1586865600   12   273.300   273.389   273.198   273.092   273.444   272.758   272.570   273.619   273.787   272.935   273.414   273.206   273.626   274.144   272.608   273.545   273.205   273.273   273.109   273.161   273.787
tmax2m       1586887200   18   273.633   273.637   273.594   273.459   273.858   273.153   272.927   273.876   273.989   273.310   273.672   273.520   273.993   274.432   273.114   273.950   273.507   273.740   273.375   273.554   274.089
tmax2m       1586908800   24   267.711   267.994   267.913   267.585   268.116   267.564   267.589   267.904   268.018   267.263   268.113   268.262   268.052   268.329   267.757   268.097   268.170   267.816   267.748   267.935   268.169
tmax2m       1586930400   30   270.247   270.046   270.264   270.349   270.377   270.085   269.502   270.118   270.629   270.129   270.159   270.005   270.587   270.941   270.081   270.386   270.071   270.587   269.943   270.075   270.725
tmax2m       1586952000   36   283.536   282.595   280.881   282.802   283.440   283.205   281.532   282.371   283.747   284.037   282.390   282.183   281.154   282.724   282.080   282.794   282.421   284.124   282.557   283.302   283.049
tmax2m       1586973600   42   284.433   283.495   284.696   283.195   284.618   284.101   282.360   282.747   284.634   284.830   283.502   282.867   285.055   285.773   283.034   283.454   283.143   284.987   283.741   283.637   284.993
tmax2m       1586995200   48   274.371   274.529   274.338   274.628   274.487   274.398   273.387   274.192   274.525   274.044   274.068   274.312   274.621   274.795   274.006   274.372   274.303   274.587   274.110   274.441   274.652
tmax2m       1587016800   54   275.898   275.915   275.916   275.771   275.917   275.645   275.448   275.821   276.082   275.921   275.767   275.780   275.960   276.132   275.791   275.916   275.693   276.030   275.847   275.980   275.936
tmax2m       1587038400   60   286.242   286.636   285.841   286.513   285.972   286.375   285.872   285.879   286.525   286.369   286.343   286.241   286.181   286.718   285.812   286.072   286.208   286.447   286.331   286.744   286.376
tmax2m       1587060000   66   286.096   286.514   285.422   286.693   286.500   286.750   285.351   284.951   286.497   286.417   286.190   285.748   286.084   286.798   284.786   286.266   285.386   286.383   285.492   286.627   286.526
tmax2m       1587081600   72   277.289   276.929   277.011   276.976   277.486   276.616   276.807   276.781   277.164   276.884   276.585   277.414   276.927   277.593   277.717   277.609   277.460   277.379   277.270   277.599   276.344
tmax2m       1587103200   78   278.144   278.280   277.853   278.242   277.909   278.268   277.696   277.806   278.367   278.363   278.428   277.894   278.026   278.265   277.649   278.328   278.128   278.057   278.152   278.194   278.334
tmax2m       1587124800   84   288.522   289.047   286.259   288.597   286.135   288.292   285.631   287.987   288.684   288.895   288.336   288.139   288.417   288.098   288.517   288.457   288.683   287.316   287.956   288.744   288.954
tmax2m       1587146400   90   288.056   289.118   286.219   287.897   286.139   287.719   285.364   287.775   288.362   288.412   288.031   288.075   287.662   287.608   288.426   288.044   288.249   287.279   287.292   288.679   288.813
tmax2m       1587168000   96   278.658   278.527   278.189   278.275   277.177   279.375   277.076   279.290   279.866   278.467   280.231   280.116   279.341   279.804   279.574   278.372   278.678   278.098   278.641   278.739   279.639
tmax2m       1587189600  102   279.659   279.567   279.279   279.418   278.789   278.648   278.880   278.872   278.925   279.206   278.686   278.672   279.145   279.028   279.315   279.675   279.449   279.540   278.752   279.715   278.753
tmax2m       1587211200  108   286.500   288.360   285.963   287.605   288.185   283.917   286.865   285.134   286.371   287.975   287.074   283.097   285.155   285.468   287.592   288.250   287.688   289.120   285.930   287.117   284.544
tmax2m       1587232800  114   286.047   287.502   285.828   287.382   287.855   283.679   285.186   284.298   285.293   287.016   285.702   282.809   284.824   284.716   286.214   287.925   286.327   287.760   285.916   286.019   284.186
tmax2m       1587254400  120   280.561   280.126   280.759   280.983   281.574   279.532   280.352   279.020   280.195   280.466   280.489   278.963   279.678   280.047   280.357   282.104   280.229   281.375   279.046   280.551   280.044
tmax2m       1587276000  126   279.142   279.326   279.439   279.446   279.926   278.427   278.528   279.281   278.838   279.822   279.016   278.732   279.114   279.184   279.686   279.732   279.406   279.971   279.555   279.680   278.675
tmax2m       1587297600  132   282.932   283.332   284.718   284.999   282.428   282.605   284.777   284.876   284.142   284.429   285.611   284.384   284.581   283.669   285.248   287.331   284.341   281.400   285.305   282.949   282.108
tmax2m       1587319200  138   283.391   283.901   283.911   284.956   283.302   282.777   284.784   284.323   283.866   284.732   284.393   284.285   284.228   284.215   284.582   285.825   284.236   282.090   284.322   283.265   282.151
tmax2m       1587340800  144   280.930   280.297   280.455   281.400   280.359   279.633   281.088   281.304   280.414   281.206   280.130   279.935   280.817   281.238   281.049   282.475   281.455   280.418   280.340   280.441   280.016
tmax2m       1587362400  150   279.295   278.571   278.989   279.805   279.599   277.546   279.304   279.817   278.753   279.703   278.433   279.026   279.321   279.663   279.398   280.719   279.390   278.989   279.089   278.493   278.506
tmax2m       1587384000  156   285.314   280.542   281.192   281.200   287.213   280.008   281.754   282.623   287.911   282.030   281.473   285.175   286.215   285.248   287.222   287.183   283.482   281.849   287.211   282.505   285.187
tmax2m       1587405600  162   285.191   280.997   281.372   281.039   287.036   279.807   281.114   282.088   287.581   282.867   281.792   284.773   285.918   285.196   286.699   286.092   284.010   281.473   287.432   283.390   284.963
tmax2m       1587427200  168   280.137   278.848   278.862   279.327   281.651   277.808   277.936   278.572   281.622   279.597   278.793   279.582   279.947   280.848   281.278   281.737   280.773   278.684   281.048   279.566   279.860
tmax2m       1587448800  174   278.207   277.680   276.509   276.776   278.916   275.869   275.182   276.248   278.201   277.723   276.860   276.646   278.008   277.876   278.424   277.854   278.891   276.890   279.312   277.905   277.713
tmax2m       1587470400  180   279.936   278.415   279.261   276.937   286.707   278.860   275.906   279.942   284.397   278.352   280.286   278.904   283.542   283.265   282.282   284.671   285.643   282.906   286.066   281.645   281.573
tmax2m       1587492000  186   280.095   278.860   279.034   277.285   285.865   278.605   276.592   280.345   284.565   277.556   281.015   279.140   283.122   281.556   282.350   282.073   285.704   282.196   286.534   281.327   280.726
tmax2m       1587513600  192   278.841   276.110   276.742   273.982   281.010   276.485   275.615   277.636   280.831   275.358   277.766   276.437   279.352   277.864   279.217   276.952   281.336   278.290   281.705   278.735   278.248
tmax2m       1587535200  198   278.351   276.953   275.797   272.793   279.321   276.574   276.272   276.348   278.476   274.398   276.173   275.868   278.039   276.218   278.000   276.822   280.262   277.068   279.596   277.058   276.898
tmax2m       1587556800  204   281.556   283.906   279.255   280.183   285.697   280.925   280.954   279.761   287.883   275.648   281.176   280.794   277.168   275.631   280.459   280.551   286.576   278.396   286.972   279.329   281.879
tmax2m       1587578400  210   281.707   284.243   278.394   280.161   286.170   280.957   280.230   279.862   287.816   275.474   281.422   281.047   276.594   275.385   280.906   280.368   286.318   278.132   286.551   279.036   282.008
tmax2m       1587600000  216   277.344   280.049   274.423   275.767   282.515   278.473   277.721   276.358   281.629   273.821   277.114   277.569   274.482   272.969   277.664   277.092   280.718   275.324   281.389   275.221   277.649
tmax2m       1587621600  222   275.660   277.905   271.518   273.405   280.731   277.682   275.735   273.129   279.141   272.427   274.032   276.034   272.505   270.627   273.761   276.443   278.860   272.491   279.993   271.096   272.530
tmax2m       1587643200  228   281.262   282.130   272.391   278.355   287.371   285.036   278.557   279.066   282.484   275.092   281.740   280.702   275.960   272.600   278.548   279.560   279.055   272.675   286.577   274.907   282.445
tmax2m       1587664800  234   280.534   281.812   272.694   279.121   286.041   284.060   278.110   279.042   283.063   275.382   281.815   280.545   276.107   272.590   278.625   279.672   278.953   272.790   286.259   275.370   283.070
tmax2m       1587686400  240   276.065   277.906   267.418   276.229   280.049   280.224   274.980   274.552   280.359   272.958   276.619   277.685   273.506   269.778   272.081   276.438   276.697   268.768   281.503   272.722   275.647
dd10m        1586844000    6   341.513   341.768   339.977   339.296   338.712   339.978   343.593   343.961   341.857   341.564   338.846   344.699   340.985   343.998   339.656   340.886   341.043   338.721   343.686   338.942   345.688
